comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
6231,623100,1,1256300,92,3.4566,repo_current,naics4,industry_exposure_4digit.csv,-1.4432037453040123,0.05913978494623656,6231,Nursing Care Facilities (Skilled Nursing Facilities),1,-0.2430007,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.24455806791815085,0.45528455284552843,Nursing care facilities (skilled nursing facilities),repo_current,felten_base_aiie,3.6996007,-0.39614476789929187,0.39614476789929187
3222,322200,1,75100,61,5.6698,repo_current,naics4,industry_exposure_4digit.csv,0.21087799072014343,0.6344086021505376,3222,Converted Paper Product Manufacturing,1,-0.8241846,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8234674826614197,0.23983739837398374,Converted paper product manufacturing,repo_current,felten_base_aiie,6.4939846,0.39457120377655386,0.39457120377655386
6212,621200,1,978300,33,4.6554,repo_current,naics4,industry_exposure_4digit.csv,-0.5472552611427264,0.3064516129032258,6212,Offices of Dentists,1,0.4154884,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.4113540099901012,0.6951219512195121,Offices of dentists,repo_current,felten_base_aiie,4.2399116,-0.38867033831628633,0.38867033831628633
4854,485400,1,158600,23,4.1526,repo_current,naics4,industry_exposure_4digit.csv,-0.9230334541993621,0.1935483870967742,4854,School and Employee Bus Transportation,1,0.076602,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.07379385478199364,0.5772357723577236,School and employee bus transportation,repo_current,felten_base_aiie,4.075997999999999,-0.3836873852609494,0.3836873852609494
3262,326200,1,40000,59,5.31,repo_current,naics4,industry_exposure_4digit.csv,-0.05802613390550829,0.521505376344086,3262,Rubber Product Manufacturing,1,-1.077709,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0759997052972126,0.14227642276422764,Rubber product manufacturing,repo_current,felten_base_aiie,6.387708999999999,0.37922895357985836,0.37922895357985836
8121,812100,1,648200,33,2.8278,repo_current,naics4,industry_exposure_4digit.csv,-1.913150697957179,0.016129032258064516,8121,Personal Care Services,1,-0.4751154,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.4757643782276922,0.3861788617886179,Personal care services,repo_current,felten_base_aiie,3.3029154,-0.3700498295305534,0.3700498295305534
3111,311100,1,28500,50,5.6246,repo_current,naics4,industry_exposure_4digit.csv,0.17709681664265725,0.6182795698924731,3111,Animal Food Manufacturing,1,-0.78914,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7885600310339538,0.2601626016260163,Animal food manufacturing,repo_current,felten_base_aiie,6.41374,0.35811696826645684,0.35811696826645684
5613,561300,1,1549300,241,5.6733,repo_current,naics4,industry_exposure_4digit.csv,0.21349378959782472,0.6451612903225806,5613,Employment Services,1,-0.7234654,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7231424510743262,0.2967479674796748,Employment services,repo_current,felten_base_aiie,6.3967654000000005,0.3484133228429058,0.3484133228429058
6233,623300,1,772700,84,3.184,repo_current,naics4,industry_exposure_4digit.csv,-1.64693710932,0.03225806451612903,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,1,-0.4843864,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.48499909581722767,0.3780487804878049,Continuing care retirement communities and assisted living facilities for the elderly,repo_current,felten_base_aiie,3.6683864,-0.3457907159716759,0.3457907159716759
3212,321200,1,22400,44,5.0893,repo_current,naics4,industry_exposure_4digit.csv,-0.22297093742102017,0.45161290322580644,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1,-1.13457,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.13263817761504,0.10975609756097561,"Veneer, plywood, and engineered wood product manufacturing",repo_current,felten_base_aiie,6.22387,0.34185680566483084,0.34185680566483084
3117,311700,1,7800,35,4.9359,repo_current,naics4,industry_exposure_4digit.csv,-0.3376176653742574,0.41397849462365593,3117,Seafood Product Preparation and Packaging,1,-1.258223,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2558072569051741,0.07317073170731707,Seafood product preparation and packaging,repo_current,felten_base_aiie,6.194123,0.34080776291633885,0.34080776291633885
4884,488400,1,75600,37,5.3294,repo_current,naics4,industry_exposure_4digit.csv,-0.043527134412074,0.5268817204301075,4884,Support Activities for Road Transportation,1,-0.9504591,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9492478026117812,0.1951219512195122,Support activities for road transportation,repo_current,felten_base_aiie,6.2798590999999995,0.3317597692105953,0.3317597692105953
3346,334600,1,4900,27,7.551,repo_current,naics4,industry_exposure_4digit.csv,1.616832518918517,0.9193548387096774,3346,Manufacturing and Reproducing Magnetic and Optical Media,1,0.1490236,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.14593203010097808,0.6016260162601627,Manufacturing and reproducing magnetic and optical media,repo_current,felten_base_aiie,7.401976400000001,0.3177288224495147,0.3177288224495147
6213,621300,1,1086900,103,5.2172,repo_current,naics4,industry_exposure_4digit.csv,-0.1273821727194613,0.4731182795698925,6213,Offices of Other Health Practitioners,1,0.7008373,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.6955861862369579,0.7682926829268293,Offices of other health practitioners,repo_current,felten_base_aiie,4.5163627,-0.2951744033569368,0.2951744033569368
4453,445300,1,89900,24,6.7775,repo_current,naics4,industry_exposure_4digit.csv,1.0387409669509204,0.8225806451612904,4453,"Beer, Wine, and Liquor Stores",1,-0.0185797,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.021015348021575744,0.540650406504065,"Beer, wine, and liquor retailers",repo_current,felten_base_aiie,6.7960797,0.28193023865722533,0.28193023865722533
