left,right,overlap_count,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,top_decile_intersection_count,top_decile_union_count,top_decile_overlap,bottom_decile_intersection_count,bottom_decile_union_count,bottom_decile_overlap,comparison_level
repo_current,repo_gabriel,342,0.9499818066101079,6.531067583641845e-174,0.9581424196013348,9.321057499035233e-187,20,43,0.46511627906976744,29,51,0.5686274509803921,slug
repo_current,repo_original,342,0.9548959339211252,2.3093512287422404e-181,0.9561058249104238,2.51841079319918e-183,22,32,0.6875,37,53,0.6981132075471698,slug
repo_gabriel,repo_original,342,0.9550190654634856,1.46641530921474e-181,0.9592208112717553,1.2094470180721488e-188,27,44,0.6136363636363636,27,53,0.5094339622641509,slug
