comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
3112,311200,1,Grain and oilseed milling,25000,58,5.168,repo_current,naics4,industry_exposure_4digit.csv,-0.1641528312285831,0.46774193548387094,311200,1,Grain and oilseed milling,25000,58,5.0488,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.04055495286687674,0.5268817204301075,Grain and oilseed milling
3113,311300,1,Sugar and confectionery product manufacturing,22100,54,5.2851,repo_current,naics4,industry_exposure_4digit.csv,-0.07663567449244167,0.5053763440860215,311300,1,Sugar and confectionery product manufacturing,22100,54,5.1986,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.06186460887078005,0.5752688172043011,Sugar and confectionery product manufacturing
3114,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.6538,repo_current,naics4,industry_exposure_4digit.csv,-0.5484510549153806,0.3010752688172043,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5525,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3798795756332256,0.3870967741935484,Fruit and vegetable preserving and specialty food manufacturing
3115,311500,1,Dairy product manufacturing,52600,60,4.9106,repo_current,naics4,industry_exposure_4digit.csv,-0.35652615440435503,0.4032258064516129,311500,1,Dairy product manufacturing,52600,60,4.6551,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3097310640558987,0.41935483870967744,Dairy product manufacturing
3116,311600,1,Animal slaughtering and processing,136100,72,4.1315,repo_current,naics4,industry_exposure_4digit.csv,-0.9388029845762413,0.1881720430107527,311600,1,Animal slaughtering and processing,136100,72,3.9528,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7898996769287719,0.23118279569892472,Animal slaughtering and processing
3117,311700,1,Seafood product preparation and packaging,7800,35,4.9359,repo_current,naics4,industry_exposure_4digit.csv,-0.3376176653742574,0.41397849462365593,311700,1,Seafood product preparation and packaging,7800,35,4.8154,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.20013256107494792,0.46236559139784944,Seafood product preparation and packaging
3118,311800,1,Bakeries and tortilla manufacturing,186800,61,3.5273,repo_current,naics4,industry_exposure_4digit.csv,-1.3903646079748473,0.06989247311827956,311800,1,Bakeries and tortilla manufacturing,186800,61,3.4063,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.1635464759249632,0.13978494623655913,Bakeries and tortilla manufacturing
3119,311900,1,Other food manufacturing,92500,72,4.7859,repo_current,naics4,industry_exposure_4digit.csv,-0.44972333156060473,0.3333333333333333,311900,1,Other food manufacturing,92500,72,4.7147,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2689820261415842,0.45161290322580644,Other food manufacturing
3121,312100,1,Beverage manufacturing,157000,76,4.1229,repo_current,naics4,industry_exposure_4digit.csv,-0.9452303761042589,0.1827956989247312,312100,1,Beverage manufacturing,157000,76,3.8228,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8787818066076463,0.1989247311827957,Beverage manufacturing
3122,312200,1,Tobacco manufacturing,4500,24,5.0889,repo_current,naics4,industry_exposure_4digit.csv,-0.22326988586418373,0.44623655913978494,312200,1,Tobacco manufacturing,4500,24,5.1467,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.026380127868214143,0.553763440860215,Tobacco manufacturing
3211,321100,1,Sawmills and wood preservation,26200,40,4.5153,repo_current,naics4,industry_exposure_4digit.csv,-0.6519619533607748,0.26344086021505375,321100,1,Sawmills and wood preservation,26200,40,4.2702,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5728905387743507,0.3064516129032258,Sawmills and wood preservation
3212,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,5.0893,repo_current,naics4,industry_exposure_4digit.csv,-0.22297093742102017,0.45161290322580644,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,4.9161,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.13128309600831228,0.4946236559139785,"Veneer, plywood, and engineered wood product manufacturing"
3219,321900,1,Other wood product manufacturing,75500,66,4.706,repo_current,naics4,industry_exposure_4digit.csv,-0.5094382830825318,0.3172043010752688,321900,1,Other wood product manufacturing,75500,66,4.5136,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4064758436679041,0.3602150537634409,Other wood product manufacturing
