left,right,overlap_count,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,top_decile_intersection_count,top_decile_union_count,top_decile_overlap,bottom_decile_intersection_count,bottom_decile_union_count,bottom_decile_overlap,comparison_level
repo_current,felten_base_aioe,329,0.8514365227409275,1.1455043961792495e-93,0.8496663824476473,6.808068135090957e-93,2,52,0.038461538461538464,23,53,0.4339622641509434,slug
repo_current,felten_language_modeling_aioe,329,0.824729335873637,6.0229734393292305e-83,0.8227186521722717,3.254793971478488e-82,0,54,0.0,22,54,0.4074074074074074,slug
repo_current,felten_image_generation_aioe,329,0.761029380926008,2.0143981645518636e-63,0.7831974789386889,1.8503808938834806e-69,8,46,0.17391304347826086,20,56,0.35714285714285715,slug
repo_current,openai_gpts_are_gpts,341,0.8845556960993846,2.5674577203365735e-114,0.8931831665659614,1.0564226164795581e-119,17,41,0.4146341463414634,27,52,0.5192307692307693,slug
repo_current,microsoft_ai_applicability,341,0.6609129895017982,3.55865288449546e-44,0.6796127192540896,1.5406229347446285e-47,9,49,0.1836734693877551,20,59,0.3389830508474576,slug
repo_current,eisfeldt_genaiexp_total,329,0.8344104305521106,1.3060256342031856e-86,0.8505060934026102,2.9315281715455335e-93,14,40,0.35,22,54,0.4074074074074074,slug
repo_current,webb_soc4_ai_score,84,0.0018020209616727957,0.987020319953132,0.06611767215817335,0.5501382311263345,0,14,0.0,0,17,0.0,soc4
repo_current,yale_pca_standardized_reference,334,0.8780512869437689,2.7415352916510264e-108,0.8878974549767897,5.5070089692224924e-114,12,44,0.2727272727272727,27,50,0.54,slug
repo_original,felten_base_aioe,329,0.8541327812305849,7.251555716442228e-95,0.8404573948515099,5.0695757876067094e-89,6,56,0.10714285714285714,21,55,0.38181818181818183,slug
repo_original,felten_language_modeling_aioe,329,0.8219139215415459,6.355950172048522e-82,0.8081446969695131,3.6306928514459365e-77,2,60,0.03333333333333333,20,56,0.35714285714285715,slug
repo_original,felten_image_generation_aioe,329,0.7737422882065127,8.435518867657764e-67,0.7855950684143083,3.730114698119859e-70,10,52,0.19230769230769232,20,56,0.35714285714285715,slug
repo_original,openai_gpts_are_gpts,341,0.8768916293638239,6.99651044992796e-110,0.8846512949297148,2.2501273337973918e-114,20,46,0.43478260869565216,24,55,0.43636363636363634,slug
repo_original,microsoft_ai_applicability,341,0.6657770293256697,5.009762614185875e-45,0.6845237589577199,1.8298796181279026e-48,12,54,0.2222222222222222,20,59,0.3389830508474576,slug
repo_original,eisfeldt_genaiexp_total,329,0.8269588757625763,9.042976759300799e-84,0.8391547184389618,1.7091766396067342e-88,19,43,0.4418604651162791,23,53,0.4339622641509434,slug
repo_original,webb_soc4_ai_score,84,0.055659796092212624,0.6150508581106553,0.09663907922090374,0.3818516644218281,0,14,0.0,0,15,0.0,soc4
repo_original,yale_pca_standardized_reference,334,0.8690354722034,1.7282614980607922e-103,0.876146847026659,3.040471374689047e-107,18,46,0.391304347826087,26,51,0.5098039215686274,slug
