comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
3111,311100,1,Animal food manufacturing,28500,50,5.3232,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.14705471162453201,0.6075268817204301,311100,1,Animal food manufacturing,28500,50,5.614,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17621357455649025,0.6290322580645161,Animal food manufacturing
3112,311200,1,Grain and oilseed milling,25000,58,5.0488,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.04055495286687674,0.5268817204301075,311200,1,Grain and oilseed milling,25000,58,5.136,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.15885561280769409,0.44623655913978494,Grain and oilseed milling
3113,311300,1,Sugar and confectionery product manufacturing,22100,54,5.1986,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.06186460887078005,0.5752688172043011,311300,1,Sugar and confectionery product manufacturing,22100,54,5.2986,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.04487601057878927,0.5161290322580645,Sugar and confectionery product manufacturing
3114,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5525,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3798795756332256,0.3870967741935484,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5985,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5356332032015212,0.3010752688172043,Fruit and vegetable preserving and specialty food manufacturing
3115,311500,1,Dairy product manufacturing,52600,60,4.6551,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3097310640558987,0.41935483870967744,311500,1,Dairy product manufacturing,52600,60,4.8099,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3874457006726746,0.3602150537634409,Dairy product manufacturing
3116,311600,1,Animal slaughtering and processing,136100,72,3.9528,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7898996769287719,0.23118279569892472,311600,1,Animal slaughtering and processing,136100,72,3.964,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.9804060052571173,0.1774193548387097,Animal slaughtering and processing
3117,311700,1,Seafood product preparation and packaging,7800,35,4.8154,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.20013256107494792,0.46236559139784944,311700,1,Seafood product preparation and packaging,7800,35,4.8974,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.32610981386437693,0.3924731182795699,Seafood product preparation and packaging
3118,311800,1,Bakeries and tortilla manufacturing,186800,61,3.4063,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.1635464759249632,0.13978494623655913,311800,1,Bakeries and tortilla manufacturing,186800,61,3.5123,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.2970393775006364,0.11827956989247312,Bakeries and tortilla manufacturing
3119,311900,1,Other food manufacturing,92500,72,4.7147,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2689820261415842,0.45161290322580644,311900,1,Other food manufacturing,92500,72,4.8011,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3936143384316804,0.34946236559139787,Other food manufacturing
3121,312100,1,Beverage manufacturing,157000,76,3.8228,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8787818066076463,0.1989247311827957,312100,1,Beverage manufacturing,157000,76,4.1573,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8449062690280442,0.21505376344086022,Beverage manufacturing
3122,312200,1,Tobacco manufacturing,4500,24,5.1467,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.026380127868214143,0.553763440860215,312200,1,Tobacco manufacturing,4500,24,5.2667,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06723732245518586,0.489247311827957,Tobacco manufacturing
3211,321100,1,Sawmills and wood preservation,26200,40,4.2702,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5728905387743507,0.3064516129032258,321100,1,Sawmills and wood preservation,26200,40,4.4733,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6233960949546504,0.26344086021505375,Sawmills and wood preservation
