comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
8122,812200,1,Death care services,57700,27,4.8307,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.18967181812043435,0.4731182795698925,812200,1,Death care services,57700,27,4.8059,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.39024962692676785,0.3548387096774194,Death care services,repo_gabriel,repo_original,0.024799999999999933,0.11827956989247312,0.11827956989247312
4561,456100,1,Health and personal care retailers,690800,80,5.6692,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.38361791830830555,0.6827956989247311,456100,1,Health and personal care retailers,690800,80,5.4382,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.052981015689076975,0.5645161290322581,Health and personal care retailers,repo_gabriel,repo_original,0.23099999999999987,0.11827956989247301,0.11827956989247301
2361,236100,1,Residential building construction,712900,86,4.1478,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6565764824104601,0.27419354838709675,236100,1,Residential building construction,712900,86,3.8531,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.0581448606518622,0.16129032258064516,Residential building construction,repo_gabriel,repo_original,0.2947000000000002,0.1129032258064516,0.1129032258064516
3119,311900,1,Other food manufacturing,92500,72,4.7147,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2689820261415842,0.45161290322580644,311900,1,Other food manufacturing,92500,72,4.8011,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3936143384316804,0.34946236559139787,Other food manufacturing,repo_gabriel,repo_original,-0.08640000000000025,0.10215053763440857,0.10215053763440857
2213,221300,1,"Water, sewage and other systems",42700,48,4.5133,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4066809562748555,0.3548387096774194,221300,1,"Water, sewage and other systems",42700,48,5.2131,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10480993426004025,0.45698924731182794,"Water, sewage and other systems",repo_gabriel,repo_original,-0.6997999999999998,-0.10215053763440857,0.10215053763440857
3327,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.3084,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5467728668225585,0.3172043010752688,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.9323,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3016455572974107,0.41397849462365593,"Machine shops; turned product; and screw, nut, and bolt manufacturing",repo_gabriel,repo_original,-0.6238999999999999,-0.09677419354838712,0.09677419354838712
8123,812300,1,Drycleaning and laundry services,60100,33,5.0439,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.043905125447080556,0.521505376344086,812300,1,Drycleaning and laundry services,60100,33,4.9684,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.27634012285421583,0.42473118279569894,Drycleaning and laundry services,repo_gabriel,repo_original,0.0754999999999999,0.09677419354838707,0.09677419354838707
3313,331300,1,Alumina and aluminum production and processing,22300,51,4.7691,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2317882734144243,0.45698924731182794,331300,1,Alumina and aluminum production and processing,22300,51,4.8296,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3736363638712634,0.3655913978494624,Alumina and aluminum production and processing,repo_gabriel,repo_original,-0.06050000000000022,0.09139784946236557,0.09139784946236557
3314,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.1745,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.04538722944569655,0.5645161290322581,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.2376,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.08763588595371717,0.478494623655914,Nonferrous metal (except aluminum) production and processing,repo_gabriel,repo_original,-0.06309999999999949,0.08602150537634412,0.08602150537634412
4853,485300,1,Taxi and limousine service,41500,31,5.5643,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3118968767443524,0.6559139784946236,485300,1,Taxi and limousine service,41500,31,6.2145,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.5971530034522913,0.7419354838709677,Taxi and limousine service,repo_gabriel,repo_original,-0.6501999999999999,-0.08602150537634412,0.08602150537634412
3114,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5525,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3798795756332256,0.3870967741935484,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5985,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5356332032015212,0.3010752688172043,Fruit and vegetable preserving and specialty food manufacturing,repo_gabriel,repo_original,-0.045999999999999375,0.08602150537634407,0.08602150537634407
4245,424500,1,Farm product raw material merchant wholesalers,32300,47,5.4282,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.21884412405746934,0.6397849462365591,424500,1,Farm product raw material merchant wholesalers,32300,47,6.0402,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.4749719169301625,0.7204301075268817,Farm product raw material merchant wholesalers,repo_gabriel,repo_original,-0.6119999999999992,-0.08064516129032262,0.08064516129032262
6219,621900,1,Other ambulatory healthcare services,297500,106,3.8439,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.864355553252075,0.20430107526881722,621900,1,Other ambulatory healthcare services,297500,106,4.5002,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6045396908958707,0.2849462365591398,Other ambulatory healthcare services,repo_gabriel,repo_original,-0.6563000000000003,-0.08064516129032259,0.08064516129032259
3112,311200,1,Grain and oilseed milling,25000,58,5.0488,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.04055495286687674,0.5268817204301075,311200,1,Grain and oilseed milling,25000,58,5.136,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.15885561280769409,0.44623655913978494,Grain and oilseed milling,repo_gabriel,repo_original,-0.08720000000000017,0.08064516129032256,0.08064516129032256
4411,441100,1,Automobile dealers,723100,70,4.6249,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3303790664889909,0.40860215053763443,441100,1,Automobile dealers,723100,70,4.7301,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.4433840294418415,0.3333333333333333,Automobile dealers,repo_gabriel,repo_original,-0.10519999999999996,0.07526881720430112,0.07526881720430112
2372,237200,1,Land subdivision,27800,47,5.7302,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.4253241483883927,0.6989247311827957,237200,1,Land subdivision,27800,47,5.6079,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17193758701899753,0.6236559139784946,Land subdivision,repo_gabriel,repo_original,0.12230000000000008,0.07526881720430112,0.07526881720430112
3361,336100,1,Motor vehicle manufacturing,89500,80,5.3764,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.18342801392388702,0.6290322580645161,336100,1,Motor vehicle manufacturing,89500,80,5.4101,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.033283433754069315,0.553763440860215,Motor vehicle manufacturing,repo_gabriel,repo_original,-0.03369999999999962,0.07526881720430112,0.07526881720430112
