comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
6215,621500,1,Medical and diagnostic laboratories,245400,85,5.564,repo_current,naics4,industry_exposure_4digit.csv,0.13180612750337306,0.5860215053763441,621500,1,Medical and diagnostic laboratories,245400,85,5.2881,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.05223631699578524,0.5053763440860215,Medical and diagnostic laboratories,repo_current,repo_original,0.27590000000000003,0.08064516129032262,0.08064516129032262
3391,339100,1,Medical equipment and supplies manufacturing,180000,92,5.6894,repo_current,naics4,industry_exposure_4digit.csv,0.22552646443515914,0.6559139784946236,339100,1,Medical equipment and supplies manufacturing,180000,92,6.1594,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.5585289193021518,0.7365591397849462,Medical equipment and supplies manufacturing,repo_current,repo_original,-0.46999999999999975,-0.08064516129032262,0.08064516129032262
3363,336300,1,Motor vehicle parts manufacturing,187500,87,5.0912,repo_current,naics4,industry_exposure_4digit.csv,-0.2215509323159931,0.45698924731182794,336300,1,Motor vehicle parts manufacturing,187500,87,5.3328,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.0209024411062895,0.5376344086021505,Motor vehicle parts manufacturing,repo_current,repo_original,-0.24160000000000004,-0.08064516129032256,0.08064516129032256
3261,326100,1,Plastics product manufacturing,208300,82,5.2175,repo_current,naics4,industry_exposure_4digit.csv,-0.1271579613870885,0.478494623655914,326100,1,Plastics product manufacturing,208300,82,5.4297,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.04702267239912828,0.5591397849462365,Plastics product manufacturing,repo_current,repo_original,-0.21220000000000017,-0.08064516129032251,0.08064516129032251
4442,444200,1,Lawn and garden equipment and supplies retailers,55400,42,5.5108,repo_current,naics4,industry_exposure_4digit.csv,0.09204598456261504,0.5698924731182796,444200,1,Lawn and garden equipment and supplies retailers,55400,42,5.2671,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06695692982977654,0.4946236559139785,Lawn and garden equipment and supplies retailers,repo_current,repo_original,0.24369999999999958,0.07526881720430112,0.07526881720430112
7113,711300,1,"Promoters of performing arts, sports, and similar events",101400,83,5.2811,repo_current,naics4,industry_exposure_4digit.csv,-0.07962515892407726,0.5,711300,1,"Promoters of performing arts, sports, and similar events",101400,83,5.4546,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.06447711333086069,0.5752688172043011,"Promoters of performing arts, sports, and similar events",repo_current,repo_original,-0.17349999999999977,-0.07526881720430112,0.07526881720430112
6212,621200,1,Offices of dentists,978300,33,4.6554,repo_current,naics4,industry_exposure_4digit.csv,-0.5472552611427264,0.3064516129032258,621200,1,Offices of dentists,978300,33,4.198,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8163763193926418,0.23118279569892472,Offices of dentists,repo_current,repo_original,0.4573999999999998,0.07526881720430109,0.07526881720430109
3336,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.5942,repo_current,naics4,industry_exposure_4digit.csv,0.1543767349622241,0.6021505376344086,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.8406,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.33505599685089266,0.6774193548387096,"Engine, turbine, and power transmission equipment manufacturing",repo_current,repo_original,-0.2464000000000004,-0.07526881720430101,0.07526881720430101
4238,423800,1,"Machinery, equipment, and supplies merchant wholesalers",497900,97,5.5696,repo_current,naics4,industry_exposure_4digit.csv,0.13599140570766355,0.5913978494623656,423800,1,"Machinery, equipment, and supplies merchant wholesalers",497900,97,5.7982,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30533437855750006,0.6666666666666666,"Machinery, equipment, and supplies merchant wholesalers",repo_current,repo_original,-0.22859999999999925,-0.07526881720430101,0.07526881720430101
6213,621300,1,Offices of other health practitioners,1086900,103,5.2172,repo_current,naics4,industry_exposure_4digit.csv,-0.1273821727194613,0.4731182795698925,621300,1,Offices of other health practitioners,1086900,103,4.9103,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.317067151694925,0.4032258064516129,Offices of other health practitioners,repo_current,repo_original,0.30689999999999973,0.06989247311827962,0.06989247311827962
3365,336500,1,Railroad rolling stock manufacturing,12200,35,4.6885,repo_current,naics4,industry_exposure_4digit.csv,-0.522517277470939,0.3118279569892473,336500,1,Railroad rolling stock manufacturing,12200,35,4.8525,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.35758388606657765,0.3817204301075269,Railroad rolling stock manufacturing,repo_current,repo_original,-0.1639999999999997,-0.06989247311827956,0.06989247311827956
3359,335900,1,Other electrical equipment and component manufacturing,67000,65,5.6582,repo_current,naics4,industry_exposure_4digit.csv,0.20220848586839887,0.6236559139784946,335900,1,Other electrical equipment and component manufacturing,67000,65,5.9164,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.38819039936596633,0.6881720430107527,Other electrical equipment and component manufacturing,repo_current,repo_original,-0.25820000000000043,-0.06451612903225812,0.06451612903225812
4852,485200,1,Interurban and rural bus transportation,3200,12,4.8438,repo_current,naics4,industry_exposure_4digit.csv,-0.4064505444126747,0.3602150537634409,485200,1,Interurban and rural bus transportation,3200,12,4.5938,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5389278165500809,0.2956989247311828,Interurban and rural bus transportation,repo_current,repo_original,0.25,0.06451612903225806,0.06451612903225806
3327,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.8194,repo_current,naics4,industry_exposure_4digit.csv,-0.4246863994456538,0.34946236559139787,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.9323,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3016455572974107,0.41397849462365593,"Machine shops; turned product; and screw, nut, and bolt manufacturing",repo_current,repo_original,-0.11289999999999978,-0.06451612903225806,0.06451612903225806
3312,331200,1,Steel product manufacturing from purchased steel,23400,47,4.8462,repo_current,naics4,industry_exposure_4digit.csv,-0.40465685375369337,0.3655913978494624,331200,1,Steel product manufacturing from purchased steel,23400,47,4.9957,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.25720332617002684,0.43010752688172044,Steel product manufacturing from purchased steel,repo_current,repo_original,-0.14950000000000063,-0.06451612903225806,0.06451612903225806
