left,right,overlap_count,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,top_decile_intersection_count,top_decile_union_count,top_decile_overlap,bottom_decile_intersection_count,bottom_decile_union_count,bottom_decile_overlap,comparison_level
repo_current,felten_base_aiie,172,0.7446383306817261,1.162306722410304e-31,0.6698174391483481,9.506835950477876e-24,13,18,0.7222222222222222,6,28,0.21428571428571427,naics4
repo_current,felten_language_modeling_aiie,172,0.6994543985529442,1.3721785447161595e-26,0.6185065432771335,1.555534114355064e-19,13,17,0.7647058823529411,7,29,0.2413793103448276,naics4
repo_current,felten_image_generation_aiie,172,0.7421050438805294,2.3852619451892277e-31,0.679993773922641,1.0972415118683559e-24,11,21,0.5238095238095238,7,27,0.25925925925925924,naics4
repo_original,felten_base_aiie,172,0.7314248014123628,4.51492018743251e-30,0.6645630071953643,2.8045035495773466e-23,11,20,0.55,6,28,0.21428571428571427,naics4
repo_original,felten_language_modeling_aiie,172,0.6780641760200473,1.6634389001317505e-24,0.6039012034724531,1.7956179310269833e-18,11,19,0.5789473684210527,6,30,0.2,naics4
repo_original,felten_image_generation_aiie,172,0.7497289081893911,2.6708578493791854e-32,0.6943750692769024,4.4531735614813663e-26,10,22,0.45454545454545453,8,26,0.3076923076923077,naics4
