naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
811200,Electronic and precision equipment repair and maintenance,Line Item,4,False,47500,60,6.0358
221200,Natural gas distribution,Line Item,4,False,61300,83,5.9788
813300,Social advocacy organizations,Line Item,4,False,201400,117,5.9682
561900,Other support services,Line Item,4,False,122700,90,5.9258
335900,Other electrical equipment and component manufacturing,Line Item,4,False,67000,65,5.9164
483100,"Deep sea, coastal, and great lakes water transportation",Line Item,4,False,29700,46,5.8653
333600,"Engine, turbine, and power transmission equipment manufacturing",Line Item,4,False,48300,60,5.8406
459900,Other miscellaneous retailers,Line Item,4,False,175700,88,5.8184
423800,"Machinery, equipment, and supplies merchant wholesalers",Summary,4,False,497900,97,5.7982
322200,Converted paper product manufacturing,Line Item,4,False,75100,61,5.7976
999200,"State government, excluding education and hospitals",Line Item,4,False,1673600,245,5.7975
335200,Household appliance manufacturing,Line Item,4,False,17100,43,5.7602
487900,"Scenic and sightseeing transportation, other",Line Item,4,False,1200,6,5.75
486100,Pipeline transportation of crude oil,Line Item,4,False,5700,31,5.7018
459200,Book retailers and news dealers,Line Item,4,False,12500,20,5.64
311100,Animal food manufacturing,Line Item,4,False,28500,50,5.614
237200,Land subdivision,Line Item,4,False,27800,47,5.6079
423100,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Line Item,4,False,192600,82,5.6033
481200,Nonscheduled air transportation,Line Item,4,False,36000,35,5.5722
326200,Rubber product manufacturing,Line Item,4,False,40000,59,5.545
621100,Offices of physicians,Line Item,4,False,2513300,132,5.5424
492200,Local messengers and local delivery,Line Item,4,False,24000,32,5.5375
333500,Metalworking machinery manufacturing,Line Item,4,False,74900,55,5.534
711100,Performing arts companies,Summary,4,False,93400,68,5.5128
561300,Employment services,Summary,4,False,1549300,241,5.4745
711300,"Promoters of performing arts, sports, and similar events",Line Item,4,False,101400,83,5.4546
541900,"Other professional, scientific, and technical services",Summary,4,False,720300,130,5.4522
456100,Health and personal care retailers,Summary,4,False,690800,80,5.4382
326100,Plastics product manufacturing,Line Item,4,False,208300,82,5.4297
336100,Motor vehicle manufacturing,Line Item,4,False,89500,80,5.4101
221100,"Electric power generation, transmission and distribution",Summary,4,False,295300,120,5.4067
492100,Couriers and express delivery services,Line Item,4,False,173600,49,5.4026
336300,Motor vehicle parts manufacturing,Line Item,4,False,187500,87,5.3328
562100,Waste collection,Line Item,4,False,95300,49,5.3211
624200,"Community food and housing, and emergency and other relief services",Line Item,4,False,163500,98,5.3193
336900,Other transportation equipment manufacturing,Line Item,4,False,16900,47,5.3018
311300,Sugar and confectionery product manufacturing,Line Item,4,False,22100,54,5.2986
488400,Support activities for road transportation,Line Item,4,False,75600,37,5.2937
621500,Medical and diagnostic laboratories,Line Item,4,False,245400,85,5.2881
485900,Other transit and ground passenger transportation,Line Item,4,False,81100,31,5.2713
444200,Lawn and garden equipment and supplies retailers,Line Item,4,False,55400,42,5.2671
312200,Tobacco manufacturing,Line Item,4,False,4500,24,5.2667
457200,Fuel dealers,Line Item,4,False,48700,32,5.2526
331400,Nonferrous metal (except aluminum) production and processing,Line Item,4,False,28200,53,5.2376
561600,Investigation and security services,Summary,4,False,821400,62,5.2337
488100,Support activities for air transportation,Line Item,4,False,86800,79,5.2166
321200,"Veneer, plywood, and engineered wood product manufacturing",Line Item,4,False,22400,44,5.2143
221300,"Water, sewage and other systems",Line Item,4,False,42700,48,5.2131
621400,Outpatient care centers,Summary,4,False,929500,138,5.1445
311200,Grain and oilseed milling,Line Item,4,False,25000,58,5.136
331500,Foundries,Line Item,4,False,33500,55,5.1343
999300,"Local government, excluding education and hospitals",Line Item,4,False,3639500,276,5.075
331200,Steel product manufacturing from purchased steel,Line Item,4,False,23400,47,4.9957
812300,Drycleaning and laundry services,Line Item,4,False,60100,33,4.9684
322100,"Pulp, paper, and paperboard mills",Line Item,4,False,28800,55,4.9444
332700,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Summary,4,False,172800,61,4.9323
713200,Gambling industries (except casino hotels),Line Item,4,False,51800,53,4.9151
621300,Offices of other health practitioners,Summary,4,False,1086900,103,4.9103
487100,"Scenic and sightseeing transportation, land",Line Item,4,False,5400,20,4.9074
311700,Seafood product preparation and packaging,Line Item,4,False,7800,35,4.8974
332800,"Coating, engraving, heat treating, and allied activities",Line Item,4,False,50100,54,4.8583
336500,Railroad rolling stock manufacturing,Line Item,4,False,12200,35,4.8525
486900,Other pipeline transportation,Line Item,4,False,2700,15,4.8519
486200,Pipeline transportation of natural gas,Line Item,4,False,14000,42,4.8429
331300,Alumina and aluminum production and processing,Line Item,4,False,22300,51,4.8296
311500,Dairy product manufacturing,Line Item,4,False,52600,60,4.8099
812200,Death care services,Line Item,4,False,57700,27,4.8059
311900,Other food manufacturing,Line Item,4,False,92500,72,4.8011
562200,Waste treatment and disposal,Line Item,4,False,56600,62,4.7792
485500,Charter bus industry,Line Item,4,False,8200,17,4.7439
441100,Automobile dealers,Line Item,4,False,723100,70,4.7301
485100,Urban transit systems,Line Item,4,False,12800,29,4.7188
713100,Amusement parks and arcades,Line Item,4,False,90900,67,4.7074
321900,Other wood product manufacturing,Line Item,4,False,75500,66,4.7073
331100,Iron and steel mills and ferroalloy manufacturing,Line Item,4,False,30500,53,4.6557
441200,Other motor vehicle dealers,Line Item,4,False,79400,46,4.6033
311400,Fruit and vegetable preserving and specialty food manufacturing,Line Item,4,False,54300,60,4.5985
485200,Interurban and rural bus transportation,Line Item,4,False,3200,12,4.5938
711200,Spectator sports,Line Item,4,False,109100,93,4.5637
621900,Other ambulatory healthcare services,Summary,4,False,297500,106,4.5002
441300,"Automotive parts, accessories, and tire retailers",Line Item,4,False,242000,48,4.495
212300,Nonmetallic mineral mining and quarrying,Line Item,4,False,47700,45,4.4885
