variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
repo_gabriel,11-10,Top executives,7.4,4022200.0,1,1.233819532719265,0.8522727272727273,11-10,soc4,11-1011.00 | 11-1011.03 | 11-1021.00,Chief Executives | Chief Sustainability Officers | General and Operations Managers,3,0.2503340999999999,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8181010378641315,0.24074074074074073,Top executives,repo_gabriel,webb_soc4_ai_score,7.1496659000000005,0.6115319865319866,0.6115319865319866
repo_gabriel,53-40,Railroad workers,3.3,77900.0,1,-0.5951491798824767,0.38636363636363635,53-40,soc4,53-4011.00 | 53-4012.00 | 53-4013.00 | 53-4021.00 | 53-4031.00,"Locomotive Engineers | Locomotive Firers | Rail Yard Engineers, Dinkey Operators, and Hostlers | Railroad Brake, Signal, and Switch Operators | Railroad Conductors and Yardmasters",6,0.895869705,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,2.5248203895034433,0.9907407407407407,Railroad workers,repo_gabriel,webb_soc4_ai_score,2.404130295,-0.6043771043771043,0.6043771043771043
repo_gabriel,41-90,Real estate brokers and sales agents,6.38019137149572,595700.0,3,0.778893173115455,0.6931818181818182,41-90,soc4,41-9011.00 | 41-9012.00 | 41-9021.00 | 41-9022.00 | 41-9031.00,Demonstrators and Product Promoters | Models | Real Estate Brokers | Real Estate Sales Agents | Sales Engineers,7,0.1804108055714285,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1802004749934019,0.1111111111111111,Real estate brokers and sales agents,repo_gabriel,webb_soc4_ai_score,6.199780565924292,0.5820707070707072,0.5820707070707072
repo_gabriel,39-60,Concierges,5.8,45600.0,1,0.5200756448746827,0.6193181818181818,39-60,soc4,39-6011.00 | 39-6012.00,Baggage Porters and Bellhops | Concierges,2,0.1389198335,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.3950624570522967,0.07407407407407407,Concierges,repo_gabriel,webb_soc4_ai_score,5.6610801665,0.5452441077441077,0.5452441077441077
repo_gabriel,33-20,Firefighters,1.592248275862069,362500.0,2,-1.356960026794661,0.011363636363636364,33-20,soc4,33-2011.01 | 33-2011.02 | 33-2021.01 | 33-2021.02 | 33-2022.00,Municipal Firefighters | Forest Firefighters | Fire Inspectors | Fire Investigators | Forest Fire Inspectors and Prevention Specialists,5,0.4117360734,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.01772290603478275,0.5370370370370371,Firefighters,repo_gabriel,webb_soc4_ai_score,1.1805122024620691,-0.5256734006734007,0.5256734006734007
repo_gabriel,37-20,Janitors and building cleaners,2.2,2550100.0,2,-1.0858481027756268,0.14772727272727273,37-20,soc4,37-2011.00 | 37-2012.00 | 37-2021.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners | Maids and Housekeeping Cleaners | Pest Control Workers",3,0.4814530363333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.37875385062664735,0.6666666666666666,Janitors and building cleaners,repo_gabriel,webb_soc4_ai_score,1.7185469636666668,-0.5189393939393939,0.5189393939393939
repo_gabriel,53-70,Hand laborers and material movers,2.4221983447817133,7817700.0,2,-0.98672765872742,0.26136363636363635,53-70,soc4,53-7011.00 | 53-7021.00 | 53-7031.00 | 53-7032.00 | 53-7033.00,"Conveyor Operators and Tenders | Crane and Tower Operators | Dredge Operators | Excavating and Loading Machine and Dragline Operators | Loading Machine Operators, Underground Mining",15,0.5322287626666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6416971526461417,0.7777777777777778,Hand laborers and material movers,repo_gabriel,webb_soc4_ai_score,1.8899695821150466,-0.5164141414141414,0.5164141414141414
repo_gabriel,51-80,Water and wastewater treatment plant and system operators,3.7643900141309463,212300.0,3,-0.3879894710312129,0.4659090909090909,51-80,soc4,51-8011.00 | 51-8012.00 | 51-8013.00 | 51-8021.00 | 51-8031.00,Nuclear Power Reactor Operators | Power Distributors and Dispatchers | Power Plant Operators | Stationary Engineers and Boiler Operators | Water and Wastewater Treatment Plant and System Operators,11,0.8227721854545454,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,2.14628315238866,0.9629629629629629,Water and wastewater treatment plant and system operators,repo_gabriel,webb_soc4_ai_score,2.9416178286764008,-0.497053872053872,0.497053872053872
repo_gabriel,25-40,Library technicians and assistants,6.352692530399537,345400.0,3,0.7666262170184487,0.6818181818181818,25-40,soc4,25-4011.00 | 25-4012.00 | 25-4013.00 | 25-4021.00 | 25-4031.00,Archivists | Curators | Museum Technicians and Conservators | Librarians | Library Technicians,5,0.2192249931999999,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9792002846020186,0.18518518518518517,Library technicians and assistants,repo_gabriel,webb_soc4_ai_score,6.133467537199537,0.4966329966329966,0.4966329966329966
repo_gabriel,51-70,Woodworkers,2.4,214600.0,1,-0.9966301167950541,0.23295454545454544,51-70,soc4,51-7011.00 | 51-7021.00 | 51-7031.00 | 51-7032.00 | 51-7041.00,"Cabinetmakers and Bench Carpenters | Furniture Finishers | Model Makers, Wood | Patternmakers, Wood | Sawing Machine Setters, Operators, and Tenders, Wood",6,0.4978312233333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.46356868011034874,0.7222222222222222,Woodworkers,repo_gabriel,webb_soc4_ai_score,1.9021687766666666,-0.4892676767676768,0.4892676767676768
