variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title
repo_gabriel,17-30,Drafters,6.156319444444445,576000.0,10,0.6790261608699325,0.6590909090909091,17-30,soc4,17-3011.01 | 17-3011.02 | 17-3012.01 | 17-3012.02 | 17-3013.00,Architectural Drafters | Civil Drafters | Electronic Drafters | Electrical Drafters | Mechanical Drafters,28,0.6106521731785713,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.0478146423351724,0.8611111111111112,Drafters
repo_gabriel,19-10,Medical scientists,6.73610444177671,333200.0,7,0.9376624096886149,0.7840909090909091,19-10,soc4,19-1011.00 | 19-1012.00 | 19-1013.00 | 19-1020.01 | 19-1021.00,Animal Scientists | Food Scientists and Technologists | Soil and Plant Scientists | Biologists | Biochemists and Biophysicists,16,0.552532450625,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.7468402818628448,0.8148148148148148,Medical scientists
repo_gabriel,19-20,Chemists and materials scientists,6.424466403162056,253000.0,6,0.798643818887938,0.7045454545454546,19-20,soc4,19-2011.00 | 19-2012.00 | 19-2021.00 | 19-2031.00 | 19-2032.00,Astronomers | Physicists | Atmospheric and Space Scientists | Chemists | Materials Scientists,12,0.7540037408333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.7901641323525919,0.9444444444444444,Chemists and materials scientists
repo_gabriel,19-30,Psychologists,6.568227424749164,299000.0,9,0.8627741629304949,0.7272727272727273,19-30,soc4,19-3011.00 | 19-3011.01 | 19-3022.00 | 19-3031.01 | 19-3031.02,Economists | Environmental Economists | Survey Researchers | School Psychologists | Clinical Psychologists,16,0.6104868725,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.0469586288541584,0.8518518518518519,Psychologists
repo_gabriel,19-40,Biological technicians,4.070688321732406,258600.0,7,-0.2513528804639121,0.5113636363636364,19-40,soc4,19-4011.01 | 19-4011.02 | 19-4021.00 | 19-4031.00 | 19-4041.01,Agricultural Technicians | Food Science Technicians | Biological Technicians | Chemical Technicians | Geophysical Data Technicians,16,0.652976629375,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.2669928416859606,0.8888888888888888,Biological technicians
repo_gabriel,21-10,Social workers,4.372995395363607,2519200.0,9,-0.11649673917862954,0.5340909090909091,21-10,soc4,21-1011.00 | 21-1012.00 | 21-1013.00 | 21-1014.00 | 21-1015.00,"Substance Abuse and Behavioral Disorder Counselors | Educational, Guidance, School, and Vocational Counselors | Marriage and Family Therapists | Mental Health Counselors | Rehabilitation Counselors",12,0.3067660298333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.525866951988181,0.3148148148148148,Social workers
repo_gabriel,23-10,Lawyers,8.117786001959288,918700.0,3,1.5540166400185407,0.9431818181818182,23-10,soc4,23-1011.00 | 23-1012.00 | 23-1021.00 | 23-1022.00 | 23-1023.00,"Lawyers | Judicial Law Clerks | Administrative Law Judges, Adjudicators, and Hearing Officers | Arbitrators, Mediators, and Conciliators | Judges, Magistrate Judges, and Magistrates",5,0.5119342617999999,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.5366015990013353,0.7592592592592593,Lawyers
repo_gabriel,23-20,Paralegals and legal assistants,7.8,376200.0,1,1.4122555046804102,0.8920454545454546,23-20,soc4,23-2011.00 | 23-2091.00 | 23-2093.00,"Paralegals and Legal Assistants | Court Reporters | Title Examiners, Abstractors, and Searchers",3,0.2309919056666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9182650495598265,0.2037037037037037,Paralegals and legal assistants
repo_gabriel,25-10,Postsecondary teachers,6.6,1415600.0,1,0.8769475887969737,0.7386363636363636,25-10,soc4,25-1011.00 | 25-1021.00 | 25-1022.00 | 25-1031.00 | 25-1032.00,"Business Teachers, Postsecondary | Computer Science Teachers, Postsecondary | Mathematical Science Teachers, Postsecondary | Architecture Teachers, Postsecondary | Engineering Teachers, Postsecondary",23,0.0158849577826086,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-2.0322014764394214,0.009259259259259259,Postsecondary teachers
repo_gabriel,25-11,Career and technical education teachers,3.8,239600.0,1,-0.37210421493104484,0.48295454545454547,25-11,soc4,25-1111.00 | 25-1112.00 | 25-1113.00 | 25-1121.00 | 25-1122.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary | Law Teachers, Postsecondary | Social Work Teachers, Postsecondary | Art, Drama, and Music Teachers, Postsecondary | Communications Teachers, Postsecondary",13,0.0513966726923076,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.84830321927946,0.018518518518518517,Career and technical education teachers
