comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title
3121,312100,1,157000,76,4.1573,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8449062690280442,0.21505376344086022,312100,Beverage Manufacturing,1,-0.7857221,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.7816378875411952,0.22357723577235772,Beverage manufacturing
3122,312200,1,4500,24,5.2667,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06723732245518586,0.489247311827957,312200,Tobacco Manufacturing,1,-0.5900809,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.5869362642709157,0.3130081300813008,Tobacco manufacturing
3211,321100,1,26200,40,4.4733,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6233960949546504,0.26344086021505375,321100,Sawmills and Wood Preservation,1,-1.016212,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.0110208481722096,0.11788617886178862,Sawmills and wood preservation
3212,321200,1,22400,44,5.2143,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10396875638381227,0.46236559139784944,321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1,-0.8070484,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.8028617669099016,0.21544715447154472,"Veneer, plywood, and engineered wood product manufacturing"
3219,321900,1,75500,66,4.7073,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.4593664090901751,0.3172043010752688,321900,Other Wood Product Manufacturing,1,-0.8864087,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.8818409350667948,0.17886178861788618,Other wood product manufacturing
3221,322100,1,28800,55,4.9444,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.29316368037877744,0.41935483870967744,322100,"Pulp, Paper, and Paperboard Mills",1,-0.6130537,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6097987362403346,0.2967479674796748,"Pulp, paper, and paperboard mills"
3222,322200,1,75100,61,5.7976,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30491378961938637,0.6612903225806451,322200,Converted Paper Product Manufacturing,1,-0.6015435,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.5983438145563255,0.3048780487804878,Converted paper product manufacturing
3254,325400,1,183600,100,6.3426,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.6869487417396386,0.7473118279569892,325400,Pharmaceutical and Medicine Manufacturing,1,0.8204141,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.8167847623564667,0.8048780487804879,Pharmaceutical and medicine manufacturing
3261,326100,1,208300,82,5.4297,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.04702267239912828,0.5591397849462365,326100,Plastics Product Manufacturing,1,-0.6659414,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6624324403938133,0.26422764227642276,Plastics product manufacturing
3262,326200,1,40000,59,5.545,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12784584667337578,0.6075268817204301,326200,Rubber Product Manufacturing,1,-0.8993759,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.8947458594348235,0.17479674796747968,Rubber product manufacturing
