gvkey,firmgenaiexp_estz_total,firmgenaiexp_estz_core,firmgenaiexp_estz_supplemental
1045,.2259117627223327,.1762881710860576,.0496235884157627
1050,.3866051093813698,.3227756805297655,.0638294245078204
1062,.294117659330368,.1176470592617989,.1764705926179886
1075,.3479390769913241,.302665307629904,.045273761740008
1076,.3411193267892521,.2341164990800922,.1070028284977193
1078,.3761464698742236,.3174366461796861,.0587098175306334
1094,.4026694160234022,.3228971263904639,.0797722817944391
1096,.2466101400341532,.1912978469191344,.0553122909530903
1104,.3503491005209821,.3014127496068204,.0489363447312147
1119,.3720995988696814,.337293186224997,.0348063967248891
1121,.4497180021596404,.3827969362467247,.0669210602019755
1161,.4412436245078477,.3793428420461614,.0619007734508838
1166,.3598356816882105,.2928255568378624,.0670101185309177
1186,.2621014664505983,.2232493415523272,.0388521194603149
1209,.3257458570313003,.2749437943482675,.0508020570666203
1224,.3143836007694953,.253785181014488,.0605984163918981
1225,.3287184251352379,.2573915756254334,.0713268472645061
1230,.2358964941171049,.1835544676656464,.0523420232019141
1234,.3408251712549123,.2880476566406429,.0527775112384067
1254,.3827389094529505,.3273355815617144,.0554033199268794
1257,.1911597922444344,.1874499022960663,.0037098948378116
1262,.2945819455295957,.2536943813417262,.040887556533562
1266,.361414739023894,.3045190121047198,.0568957195617259
1274,.4467254850644874,.3887007228761192,.0580247604844713
1300,.3675825869010878,.3113728431161376,.0562097394661038
1327,.39526779383524,.3293402640994288,.0659275241513296
1352,.3500031021080518,.3148573465449245,.0351457445833244
1380,.3068955742208287,.2481299393266297,.0587656310552773
1410,.2639985087982605,.2230512634591038,.0409472414607105
1414,.2927154603943553,.2232121157324636,.0695033437103647
1417,.3975823379643115,.3450993843656197,.0524829424907835
1439,.3741648251643575,.31599852468072,.0581662962318459
1440,.3341933558182711,.2854994605501835,.0486938891356493
1447,.4322866531244763,.3765388180379177,.0557478296216737
1449,.2606121839920666,.2168113741283688,.0438008088357894
1487,.4258054295600502,.360389860042639,.0654155669896423
1507,.3732808601447449,.3250172165352511,.0482636309151337
1526,.3572053388519233,.2974654299499487,.059739908272463
1585,.3574308517724467,.2908112502503067,.0666195944300398
1598,.3690174759353163,.3109344017446245,.0580830707229529
1602,.3652098853868641,.309075546243869,.0561343315097208
1632,.3924359241351441,.3298065127213629,.0626294052868628
1659,.3348693468567042,.2779243781310829,.0569449624123597
1661,.2358390648506298,.1844719730005381,.0513670888943905
1678,.3187553370539797,.2612219663001588,.0575333664610114
1689,.3655053104661152,.2943674423051683,.0711378626724224
1690,.3644005689649825,.3008341463078443,.0635664198789428
1704,.3742143372229537,.3192715525858766,.0549427792319958
1706,.3638008807637739,.3065571934422816,.0572436820423915
1712,.4177552906175455,.3665913557012875,.0511639296077192
1722,.3281275073705321,.2795931081559187,.0485343920445697
1742,.3348789808455711,.2891522464735214,.0457267278062822
1743,.3427285212531868,.2937916606302801,.0489368560319947
1745,.3651689896561406,.3140009007693546,.0511680860324083
1773,.4543376853493562,.3993872006768306,.0549504738000471
1783,.3128348977148237,.2530984339848308,.0597364588797388
1794,.288865272697777,.2333172177247074,.0555480523193805
