comparison_key,raw_naics_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
3132,3132,Fabric Mills,1,-1.114104,Fabric Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1122522720830117,0.11382113821138211
3133,3133,Textile and Fabric Finishing and Fabric Coating Mills,1,-0.4358472,Textile and Fabric Finishing and Fabric Coating Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.43664985581917115,0.3983739837398374
3141,3141,Textile Furnishings Mills,1,-1.067818,Textile Furnishings Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0661474141012146,0.14634146341463414
3149,3149,Other Textile Product Mills,1,-0.561571,Other Textile Product Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.5618816309548895,0.36585365853658536
3151,3151,Apparel Knitting Mills,1,-1.272213,Apparel Knitting Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2697425065090573,0.06910569105691057
3152,3152,Cut and Sew Apparel Manufacturing,1,-0.6520287,Cut and Sew Apparel Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6519853213118009,0.34146341463414637
3159,3159,Apparel Accessories and Other Apparel Manufacturing,1,-0.7916203,Apparel Accessories and Other Apparel Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7910306242857417,0.25609756097560976
3161,3161,Leather and Hide Tanning and Finishing,1,-1.103977,Leather and Hide Tanning and Finishing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1021649044819735,0.12601626016260162
3162,3162,Footwear Manufacturing,1,-0.5300771,Footwear Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.5305109835281747,0.37398373983739835
3169,3169,Other Leather and Allied Product Manufacturing,1,-0.6799067,Other Leather and Allied Product Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6797542197004397,0.3130081300813008
3211,3211,Sawmills and Wood Preservation,1,-1.421037,Sawmills and wood preservation,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.4179840781350992,0.036585365853658534
3212,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1,-1.13457,"Veneer, plywood, and engineered wood product manufacturing",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.13263817761504,0.10975609756097561
3219,3219,Other Wood Product Manufacturing,1,-1.146,Other wood product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.144023445876111,0.10569105691056911
3221,3221,"Pulp, Paper, and Paperboard Mills",1,-0.9502621,"Pulp, paper, and paperboard mills",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.94905157357876,0.1991869918699187
3222,3222,Converted Paper Product Manufacturing,1,-0.8241846,Converted paper product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8234674826614197,0.23983739837398374
3231,3231,Printing and Related Support Activities,1,-0.2099964,Printing and Related Support Activities,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.211682931499177,0.4634146341463415
3241,3241,Petroleum and Coal Products Manufacturing,1,-0.1959436,Petroleum and Coal Products Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.19768512766547788,0.46747967479674796
3250,3250,"Chemical Manufacturing (3255 and 3256 only) | Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",2,-0.21418825,"Chemical Manufacturing (3255 and 3256 only) | Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.21585837653506249,0.45934959349593496
3254,3254,Pharmaceutical and Medicine Manufacturing,1,0.4637086,Pharmaceutical and medicine manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.4593854984067683,0.6991869918699187
3261,3261,Plastics Product Manufacturing,1,-0.8657592,Plastics product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8648793788859804,0.22357723577235772
3262,3262,Rubber Product Manufacturing,1,-1.077709,Rubber product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0759997052972126,0.14227642276422764
3270,3270,Nonmetallic Mineral Product Manufacturing,1,-0.9656745,Nonmetallic Mineral Product Manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9644036565662433,0.1910569105691057
3311,3311,Iron and Steel Mills and Ferroalloy Manufacturing,1,-0.9913391,Iron and steel mills and ferroalloy manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9899678171798117,0.17886178861788618
3312,3312,Steel Product Manufacturing from Purchased Steel,1,-0.9156145,Steel product manufacturing from purchased steel,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9145395682767224,0.2032520325203252
3313,3313,Alumina and Aluminum Production and Processing,1,-1.022397,Alumina and aluminum production and processing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0209041709090787,0.16260162601626016
3314,3314,Nonferrous Metal (except Aluminum) Production and Processing,1,-0.7421725,Nonferrous metal (except aluminum) production and processing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7417763401282792,0.2926829268292683
3315,3315,Foundries,1,-1.078051,Foundries,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.076340366867229,0.13821138211382114
3320,3320,"Fabricated Metal Product Manufacturing (3323 and 3324 only) | Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",2,-0.6203662999999999,"Fabricated Metal Product Manufacturing (3323 and 3324 only) | Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6204468333162331,0.34552845528455284
3327,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",1,-0.6099281,"Machine shops; turned product; and screw, nut, and bolt manufacturing",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6100494836082092,0.34959349593495936
3328,3328,"Coating, Engraving, Heat Treating, and Allied Activities",1,-0.7753809,"Coating, engraving, heat treating, and allied activities",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7748547777941547,0.27235772357723576
3330,3330,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",1,-0.0746392,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.07685545704008137,0.516260162601626
3333,3333,Commercial and Service Industry Machinery Manufacturing,1,0.3308995,Commercial and service industry machinery manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.3270961518615865,0.6626016260162602
3335,3335,Metalworking Machinery Manufacturing,1,-0.346932,Metalworking machinery manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.3480826288299502,0.4186991869918699
3336,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",1,0.1307197,"Engine, turbine, and power transmission equipment manufacturing",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.1276997631085178,0.5975609756097561
3341,3341,Computer and Peripheral Equipment Manufacturing,1,1.596084,Computer and peripheral equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.5873293042893384,0.8983739837398373
3342,3342,Communications Equipment Manufacturing,1,1.181725,Communications equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.1745919139665744,0.8455284552845529
3343,3343,Audio and Video Equipment Manufacturing,1,1.161132,Audio and video equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.1540795054538677,0.8373983739837398
3344,3344,Semiconductor and Other Electronic Component Manufacturing,1,0.6828295,Semiconductor and other electronic component manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.6776488604459066,0.7601626016260162
3345,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1,1.113945,"Navigational, measuring, electromedical, and control instruments manufacturing",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.1070771735697762,0.8333333333333334
3346,3346,Manufacturing and Reproducing Magnetic and Optical Media,1,0.1490236,Manufacturing and reproducing magnetic and optical media,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.14593203010097808,0.6016260162601627
3351,3351,Electric Lighting Equipment Manufacturing,1,0.5806971,Electric lighting equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.5759161594706637,0.7195121951219512
3352,3352,Household Appliance Manufacturing,1,0.0281708,Household appliance manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.025552192121837018,0.5650406504065041
3353,3353,Electrical Equipment Manufacturing,1,0.332973,Electrical equipment manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.32916153714061813,0.6666666666666666
