comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
19-30,19-3011.00 | 19-3011.01 | 19-3022.00 | 19-3031.01 | 19-3031.02,Economists | Environmental Economists | Survey Researchers | School Psychologists | Clinical Psychologists,16,0.6104868725,Psychologists,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.0469586288541584,0.8518518518518519
19-40,19-4011.01 | 19-4011.02 | 19-4021.00 | 19-4031.00 | 19-4041.01,Agricultural Technicians | Food Science Technicians | Biological Technicians | Chemical Technicians | Geophysical Data Technicians,16,0.652976629375,Biological technicians,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.2669928416859606,0.8888888888888888
21-10,21-1011.00 | 21-1012.00 | 21-1013.00 | 21-1014.00 | 21-1015.00,"Substance Abuse and Behavioral Disorder Counselors | Educational, Guidance, School, and Vocational Counselors | Marriage and Family Therapists | Mental Health Counselors | Rehabilitation Counselors",12,0.3067660298333333,Social workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.525866951988181,0.3148148148148148
21-20,21-2011.00 | 21-2021.00,"Clergy | Directors, Religious Activities and Education",2,0.2583780559999999,"Clergy | Directors, Religious Activities and Education",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.776445221105268,0.25925925925925924
23-10,23-1011.00 | 23-1012.00 | 23-1021.00 | 23-1022.00 | 23-1023.00,"Lawyers | Judicial Law Clerks | Administrative Law Judges, Adjudicators, and Hearing Officers | Arbitrators, Mediators, and Conciliators | Judges, Magistrate Judges, and Magistrates",5,0.5119342617999999,Lawyers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.5366015990013353,0.7592592592592593
23-20,23-2011.00 | 23-2091.00 | 23-2093.00,"Paralegals and Legal Assistants | Court Reporters | Title Examiners, Abstractors, and Searchers",3,0.2309919056666666,Paralegals and legal assistants,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9182650495598265,0.2037037037037037
25-10,25-1011.00 | 25-1021.00 | 25-1022.00 | 25-1031.00 | 25-1032.00,"Business Teachers, Postsecondary | Computer Science Teachers, Postsecondary | Mathematical Science Teachers, Postsecondary | Architecture Teachers, Postsecondary | Engineering Teachers, Postsecondary",23,0.0158849577826086,Postsecondary teachers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-2.0322014764394214,0.009259259259259259
25-11,25-1111.00 | 25-1112.00 | 25-1113.00 | 25-1121.00 | 25-1122.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary | Law Teachers, Postsecondary | Social Work Teachers, Postsecondary | Art, Drama, and Music Teachers, Postsecondary | Communications Teachers, Postsecondary",13,0.0513966726923076,Career and technical education teachers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.84830321927946,0.018518518518518517
25-20,25-2011.00 | 25-2012.00 | 25-2021.00 | 25-2022.00 | 25-2023.00,"Preschool Teachers, Except Special Education | Kindergarten Teachers, Except Special Education | Elementary School Teachers, Except Special Education | Middle School Teachers, Except Special and Career/Technical Education | Career/Technical Education Teachers, Middle School",11,0.3564728427272727,Kindergarten and elementary school teachers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.268459043543997,0.4074074074074074
25-30,25-3011.00 | 25-3021.00 | 25-3099.02,Adult Basic and Secondary Education and Literacy Teachers and Instructors | Self-Enrichment Education Teachers | Tutors,3,0.41305087,Tutors,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.024531611383839427,0.5462962962962963
