comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
athletic-trainers,29-9091,Athletic Trainers,1,0.1106822055571351,Athletic trainers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6850625926641729,0.2697947214076246
atmospheric-scientists-including-meteorologists,19-2021,Atmospheric and Space Scientists,1,0.3214338446559302,"Atmospheric scientists, including meteorologists",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.597650310166507,0.9266862170087976
audiologists,29-1181,Audiologists,1,0.1486045121320545,Audiologists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.27431495201076195,0.41935483870967744
automotive-body-and-glass-repairers,49-3021 | 49-3022,Automotive Body and Related Repairers | Automotive Glass Installers and Repairers,2,0.0563654246862558,Automotive body and glass repairers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.2733835996294358,0.0967741935483871
automotive-service-technicians-and-mechanics,49-3023,Automotive Service Technicians and Mechanics,1,0.1243194438028391,Automotive service technicians and mechanics,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.5373536598389737,0.3343108504398827
bakers,51-3011,Bakers,1,0.0905418484383246,Bakers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.9032087160315678,0.21114369501466276
barbers-hairstylists-and-cosmetologists,39-5011 | 39-5012,"Barbers | Hairdressers, Hairstylists, and Cosmetologists",2,0.0817602077895242,"Barbers, hairstylists, and cosmetologists",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.998325245149721,0.18181818181818182
bartenders,35-3011,Bartenders,1,0.1783491644247739,Bartenders,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.04785811325765847,0.5777126099706745
bill-and-account-collectors,43-3011,Bill and Account Collectors,1,0.2331840213670421,Bill and account collectors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.6417905543159818,0.7448680351906158
biochemists-and-biophysicists,19-1021,Biochemists and Biophysicists,1,0.2514789498016125,Biochemists and biophysicists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.8399482975844965,0.8035190615835777
