comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
railroad-occupations,53-4011 | 53-4012 | 53-4013 | 53-4021 | 53-4031,"Locomotive Engineers | Locomotive Firers | Rail Yard Engineers, Dinkey Operators, and Hostlers | Railroad Brake, Signal, and Switch Operators | Railroad Conductors and Yardmasters",5,-0.17204006,Railroad workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.467557687461927,0.3221884498480243
real-estate-brokers-and-sales-agents,41-9021 | 41-9022,Real Estate Brokers | Real Estate Sales Agents,2,0.8009333,Real estate brokers and sales agents,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.4758598111138971,0.6382978723404256
receptionists,43-4171,Receptionists and Information Clerks,1,0.4573164,Receptionists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.1426809085935043,0.5167173252279635
recreation-workers,39-9032,Recreation Workers,1,-0.7991995,Recreation workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.0756660020544402,0.14893617021276595
recreational-therapists,29-1125,Recreational Therapists,1,-0.2381101,Recreational therapists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.5316207280652223,0.303951367781155
registered-nurses,29-1141,Registered Nurses,1,-0.0482808,Registered nurses,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.3475578433811034,0.3586626139817629
rehabilitation-counselors,21-1015,Rehabilitation Counselors,1,-0.2823645,Rehabilitation counselors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.5745308189940982,0.2826747720364742
reporters-correspondents-and-broadcast-news-analysts,27-3021 | 27-3022,Broadcast News Analysts | Reporters and Correspondents,2,0.72767575,"News analysts, reporters, and journalists",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.40482759439134125,0.60790273556231
respiratory-therapists,29-1126,Respiratory Therapists,1,-0.2711617,Respiratory therapists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.5636683247187717,0.2887537993920973
retail-sales-workers,41-2022 | 41-2031,Parts Salespersons | Retail Salespersons,2,-0.5792619,Retail sales workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.8624094125474365,0.20972644376899696
roofers,47-2181,Roofers,1,-1.779166,Roofers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-2.025864211096983,0.02735562310030395
