comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
3313,331300,1,Alumina and aluminum production and processing,22300,51,4.8296,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3736363638712634,0.3655913978494624
3314,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.2376,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.08763588595371717,0.478494623655914
3315,331500,1,Foundries,33500,55,5.1343,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.1600472814656842,0.44086021505376344
3327,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.9323,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3016455572974107,0.41397849462365593
3328,332800,1,"Coating, engraving, heat treating, and allied activities",50100,54,4.8583,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3535181929981421,0.3870967741935484
3333,333300,1,Commercial and service industry machinery manufacturing,45900,69,6.4357,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7522101253036668,0.7688172043010753
3335,333500,1,Metalworking machinery manufacturing,74900,55,5.534,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12013504947461832,0.5913978494623656
3336,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.8406,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.33505599685089266,0.6774193548387096
3341,334100,1,Computer and peripheral equipment manufacturing,74400,68,7.4798,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.4841049757784475,0.9032258064516129
3342,334200,1,Communications equipment manufacturing,50000,67,7.27,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.337039043751238,0.8602150537634409
3343,334300,1,Audio and video equipment manufacturing,8800,33,7.3409,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.3867386366050476,0.8817204301075269
3344,334400,1,Semiconductor and other electronic component manufacturing,242700,84,6.3885,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7191237955053623,0.7634408602150538
3345,334500,1,"Navigational, measuring, electromedical, and control instruments manufacturing",250900,98,6.9506,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.1131455323618646,0.8279569892473119
3346,334600,1,Manufacturing and reproducing magnetic and optical media,4900,27,7.7551,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.677085200216439,0.9408602150537635
3351,335100,1,Electric lighting equipment manufacturing,15000,45,6.68,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.923459921272433,0.8010752688172043
3352,335200,1,Household appliance manufacturing,17100,43,5.7602,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.27869707914361136,0.6505376344086021
3353,335300,1,Electrical equipment manufacturing,64800,62,6.1497,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.5517293981359751,0.7311827956989247
3359,335900,1,Other electrical equipment and component manufacturing,67000,65,5.9164,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.38819039936596633,0.6881720430107527
3361,336100,1,Motor vehicle manufacturing,89500,80,5.4101,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.033283433754069315,0.553763440860215
3362,336200,1,Motor vehicle body and trailer manufacturing,70400,64,4.0895,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8924328190349307,0.1935483870967742
3363,336300,1,Motor vehicle parts manufacturing,187500,87,5.3328,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.0209024411062895,0.5376344086021505
3364,336400,1,Aerospace product and parts manufacturing,346100,105,6.0797,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.502660688689337,0.7258064516129032
3365,336500,1,Railroad rolling stock manufacturing,12200,35,4.8525,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.35758388606657765,0.3817204301075269
3366,336600,1,Ship and boat building,78700,73,4.2313,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.7930336333273128,0.23655913978494625
3369,336900,1,Other transportation equipment manufacturing,16900,47,5.3018,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.04263286957551464,0.521505376344086
3379,337900,1,Other furniture related product manufacturing,5600,23,6.625,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.8849059352786464,0.7903225806451613
3391,339100,1,Medical equipment and supplies manufacturing,180000,92,6.1594,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.5585289193021518,0.7365591397849462
3399,339900,1,Other miscellaneous manufacturing,113300,87,6.5693,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.8458612621903931,0.7849462365591398
4231,423100,1,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,192600,82,5.6033,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.16871307182678993,0.6182795698924731
4234,423400,1,Professional and commercial equipment and supplies merchant wholesalers,494700,114,7.2458,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.3200752899139723,0.8494623655913979
4238,423800,1,"Machinery, equipment, and supplies merchant wholesalers",497900,97,5.7982,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30533437855750006,0.6666666666666666
4243,424300,1,"Apparel, piece goods, and notions merchant wholesalers",63600,50,7.5283,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.518102581609332,0.9086021505376344
4245,424500,1,Farm product raw material merchant wholesalers,32300,47,6.0402,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.4749719169301625,0.7204301075268817
4411,441100,1,Automobile dealers,723100,70,4.7301,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.4433840294418415,0.3333333333333333
4412,441200,1,Other motor vehicle dealers,79400,46,4.6033,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5322684916966086,0.3064516129032258
4413,441300,1,"Automotive parts, accessories, and tire retailers",242000,48,4.495,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6081847950261926,0.27956989247311825
4441,444100,1,Building material and supplies dealers,332500,66,6.8057,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.0115733038073242,0.8225806451612904
4442,444200,1,Lawn and garden equipment and supplies retailers,55400,42,5.2671,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06695692982977654,0.4946236559139785
4453,445300,1,"Beer, wine, and liquor retailers",89900,24,6.7775,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.9918056237159645,0.8118279569892473
4491,449100,1,Furniture and home furnishings retailers,119700,60,6.6675,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.914697651728391,0.7956989247311828
4492,449200,1,Electronics and appliance retailers,50000,45,7.558,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.538921734045977,0.9139784946236559
4561,456100,1,Health and personal care retailers,690800,80,5.4382,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.052981015689076975,0.5645161290322581
4571,457100,1,Gasoline stations,731900,28,6.3841,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7160394766258596,0.7580645161290323
4572,457200,1,Fuel dealers,48700,32,5.2526,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.07712116250086579,0.4838709677419355
4581,458100,1,Clothing and clothing accessories retailers,124200,48,7.2512,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.3238605903569984,0.8548387096774194
4582,458200,1,Shoe retailers,11800,19,7.322,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.3734900850544551,0.8763440860215054
4583,458300,1,"Jewelry, luggage, and leather goods retailers",30000,31,6.35,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.6921360053097114,0.7526881720430108
4592,459200,1,Book retailers and news dealers,12500,20,5.64,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.1944390952080985,0.6344086021505376
4593,459300,1,Florists,35000,22,3.7429,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1353930289521406,0.15053763440860216
4599,459900,1,Other miscellaneous retailers,175700,88,5.8184,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.3194942061406727,0.6720430107526881
4811,481100,1,Scheduled air transportation,261400,52,4.4805,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6183490276972818,0.26881720430107525
4812,481200,1,Nonscheduled air transportation,36000,35,5.5722,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.146912545201212,0.6129032258064516
